,,Driver,AUS,CHNS,CHN,JPN,BAH,SAUS,SAU,MIA,CAN,MON,SPA,AUSS,AUS,BRI,BEL,HUN,NETS,NET,ITA,AZE,SIN,USAS,USA,MEX,BRAS,BRA,LVG,ABU,TOTAL,Average PG,,,,Just Main Race,AUS,CHN,JPN,BAH,SAU,MIA,CAN,MON,SPA,AUS,BRI,BEL,HUN,NET,ITA,AZE,SIN,USA,MEX,BRA,LVG,ABU,TOTAL,Average PG,,,,Just Sprint,CHNS,SAUS,AUSS,NETS,USAS,BRAS,TOTAL,Average PG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JUST GAIN,AUS,CHNS,CHN,JPN,BAH,SAUS,SAU,MIA,CAN,MON,SPA,AUSS,AUS,BRI,BEL,HUN,NETS,NET,ITA,AZE,SIN,USAS,USA,MEX,BRAS,BRA,LVG,ABU,TOTAL,Average PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EE,Quarter Kevu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US,Lukus Wright,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FI,Eetu Väisänen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PT,Afonso Cachinho,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TR,Eren Aygen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NL,Lucas Koopman,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GB,Jason Roy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BE,Philippe Verhaeren,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
